liability_type,ticker,prototype_index,nearest_rank,distance_scaled,test_path_index,episode_index,step_index,start_date,end_date,optionid,option_exdate,option_strike,delta_0,delta_1,price_0,price_1,time_left
european_call,QQQ,1,1,0.27299967408180237,541,3604,6,2024-04-29,2024-05-28,161521701,2024-06-07,439.0,0.6860713958740234,0.0068425931967794895,1.0174927711486816,0.02372039295732975,0.055555559694767
european_call,QQQ,1,2,0.2900969684123993,537,3600,4,2024-04-23,2024-05-21,161189248,2024-05-31,434.0,0.6564270257949829,0.009880561381578445,1.0180675983428955,0.022808007895946503,0.0634920671582222
european_call,QQQ,1,3,0.29386550188064575,545,3608,5,2024-05-03,2024-06-03,161521703,2024-06-07,441.0,0.7081929445266724,0.016587087884545326,1.0151097774505615,0.021229447796940804,0.0595238134264946
european_call,QQQ,2,1,0.4282330572605133,329,3392,5,2023-05-25,2023-06-26,148120859,2023-06-30,345.0,0.889324426651001,-0.0008637718856334686,1.0439479351043701,0.04066584259271622,0.0595238134264946
european_call,QQQ,2,2,0.4451744258403778,439,3502,4,2023-11-01,2023-11-30,157851306,2023-12-08,364.0,0.9016079902648926,0.0022277096286416054,1.0440946817398071,0.039836399257183075,0.0634920671582222
european_call,QQQ,2,3,0.4730791747570038,230,3293,8,2022-12-30,2023-01-31,151639925,2023-02-03,272.5,0.8198487162590027,0.004408440552651882,1.047956943511963,0.04189199209213257,0.0476190522313118
european_call,QQQ,5,1,1.1267895698547363,574,3637,2,2024-06-14,2024-07-16,159728329,2024-07-19,485.0,0.571110188961029,0.002797201741486788,1.012562870979309,0.019376447424292564,0.0714285746216774
european_call,QQQ,5,2,1.1315245628356934,545,3608,2,2024-05-03,2024-06-03,161521703,2024-06-07,441.0,0.5494431257247925,0.0012949458323419094,1.0111141204833984,0.0208620373159647,0.0714285746216774
european_call,QQQ,5,3,1.1330806016921997,436,3499,2,2023-10-27,2023-11-27,157502607,2023-12-01,357.0,0.5735698938369751,0.003226981032639742,1.0161014795303345,0.01843271218240261,0.0714285746216774
european_call,QQQ,9,1,0.24597765505313873,562,3625,1,2024-05-29,2024-06-27,162115817,2024-07-05,468.0,0.34812530875205994,0.0028238045051693916,0.9892866015434265,0.006013933569192886,0.075396828353405
european_call,QQQ,9,2,0.2655045688152313,327,3390,1,2023-05-23,2023-06-22,148120859,2023-06-30,345.0,0.34685686230659485,0.002667418448254466,0.9948704242706299,0.008039357140660286,0.075396828353405
european_call,QQQ,9,3,0.2678355276584625,326,3389,1,2023-05-22,2023-06-21,148120859,2023-06-30,345.0,0.3263498842716217,-0.00025838369037956,0.9873237013816833,0.00921099353581667,0.075396828353405
