liability,ticker,seed,selected_epoch,checkpoint_state,selected_penalized_validation_score,selection_penalty_at_checkpoint,implied_selected_validation_loss,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_bound_occupancy,selected_val_path_bound_touch,test_bound_occupancy,test_path_bound_touch,test_liability_offset_mean,test_liability_offset_cvar05,selection_metric,epochs_available
asian_call,AAPL,1234,179,trained_epoch,0.0862800262682139,0.002483227085322141,0.08379679918289176,0.0387316606938838,0.2289568781852722,0.0,0.0,0.0,0.0,-0.0201212590267518,-0.0727963291315568,val_loss,800
asian_call,AAPL,2345,181,trained_epoch,0.1445504274397936,0.057564422133549745,0.08698600530624385,0.044448297470808,0.7265650033950806,0.500765306122449,1.0,0.5046061884669479,1.0,-0.0113422524866107,-0.1070518085940016,val_loss,800
asian_call,AAPL,3456,421,trained_epoch,0.0858581590447737,0.002806932011635493,0.0830512270331382,0.0420164801180362,0.2410989552736282,0.0018586005830903,0.0743440233236151,0.0,0.0,-0.0200418270342223,-0.080425846700867,val_loss,800
asian_call,IWM,1234,10,trained_epoch,0.1220399376098066,0.05302983635105193,0.06901010125875467,0.0297018159180879,0.5381327271461487,0.475,1.0,0.475,1.0,-0.0217957189814403,-0.0490415553665823,val_loss,800
asian_call,IWM,2345,24,trained_epoch,0.118430188180686,0.06316432196068866,0.05526586621999734,0.050000000745058,0.7903546094894409,0.5501077586206896,1.0,0.55,1.0,-0.0106748806526244,-0.0938713192525837,val_loss,800
asian_call,IWM,3456,2,trained_epoch,0.1223788841068744,0.053214362114667894,0.06916452199220652,0.0303115546703338,0.5562804341316223,0.475,1.0,0.475,1.0,-0.02206696830605,-0.0494324231727255,val_loss,800
asian_call,NVDA,1234,758,trained_epoch,0.1851628142957752,0.06071561757374455,0.12444719672203064,0.0845545828342437,0.6982033848762512,0.5331081081081082,1.0,0.5432841614906833,1.0,-0.0470097405530124,-0.1807529285098567,val_loss,800
asian_call,NVDA,2345,49,trained_epoch,0.1747595935873687,0.057806816678494216,0.11695277690887448,0.0487759076058864,0.7562937140464783,0.5,1.0,0.5000388198757764,1.0,-0.0176736788760208,-0.2486154288053512,val_loss,800
asian_call,NVDA,3456,787,trained_epoch,0.1842934841622372,0.060587992738630324,0.12370549142360687,0.0829818099737167,0.6929840445518494,0.5324324324324324,1.0,0.543361801242236,1.0,-0.0483880497219463,-0.1861729102604317,val_loss,800
asian_call,QQQ,1234,5,trained_epoch,0.1194693242385983,0.05286319006234407,0.06660613417625422,0.0279762521386146,0.5223308801651001,0.475,1.0,0.475,1.0,-0.0191798959838527,-0.0538298586649554,val_loss,800
