prototype_index,delta,price,time_left,action
61,0.6232837804664418,1.0112206935882568,0.0357142873108387,0.11687899
11,0.6998705929214666,1.0192755460739136,0.0357142873108387,-0.05916071
6,0.5079465952058422,1.0,0.0396825410425663,0.58623505
84,0.05468734282793247,0.9475054740905762,0.0277777798473835,0.109864235
71,6.908319204468327e-06,0.9253283143043518,0.007936508394777773,-0.00068998337
41,0.9947554261759394,1.0743356943130493,0.01984127052128315,-0.010717869
99,0.829607297726343,1.0293444395065308,0.0238095261156559,0.114573
50,0.964915528286804,1.0569705963134766,0.0238095261156559,0.020399094
95,0.9236705436508411,1.0482455492019653,0.0277777798473835,-0.021372318
57,0.821387625058521,1.032696008682251,0.0317460335791111,-0.37569094
